step,entropy
0,5545.177444479563
1,5299.31313411934
2,5114.354314438716
3,4987.601561653268
4,4914.171408134627
5,4810.937642732526
6,4718.787371552427
7,4633.579432700517
8,4578.855105890215
9,4528.977092574646
10,4479.779651339832
11,4415.351264484512
12,4381.4002020960215
13,4330.821039279706
14,4287.853347816777
15,4251.8148412882165
16,4200.548247286888
17,4153.447967193967
18,4129.894683145682
19,4114.6448745149255
20,4072.3829055390875
21,4051.5964940451095
22,4023.87918292111
23,4010.0225278552407
24,4009.329380696404
25,4009.328809059709
26,4007.9430863787306
27,3976.0726085971855
28,3976.0726085971855
29,3951.1261710197523
30,3930.3409027991647
31,3919.934549837053
32,3908.151620095175
33,3883.20975539687
34,3877.6537175293133
35,3867.9450845694273
36,3860.322752583438
37,3858.239309793018
38,3849.228968400575
39,3849.228968400575
40,3662.1495493299076
